Date,Adj Close,Close,High,Low,Open,Volume
2014-09-19,90.6739502,93.88999939,99.69999695,89.94999695,92.69999695,271879400
2014-09-22,86.81096649,89.88999939,92.94999695,89.5,92.69999695,66657800
2014-09-23,84.18412781,87.16999817,90.48000336,86.62000275,88.94000244,39009800
2014-09-24,87.46766663,90.56999969,90.56999969,87.22000122,88.47000122,32088000
2014-09-25,85.87419128,88.91999817,91.5,88.5,91.08999634,28598000
2014-09-26,87.36144257,90.45999908,90.45999908,88.66000366,89.73000336,18340000
2014-09-29,85.71000671,88.75,89.69999695,88.01999664,89.62000275,25302000
2014-09-30,85.80658722,88.84999847,90.87999725,88.45999908,89,24419400
2014-10-01,83.15078735,86.09999847,88.94000244,86.04000092,88.69999695,24029600
2014-10-02,84.07790375,87.05999756,88.19999695,85.61100006,86.26999664,21469700
2014-10-03,85.08227539,88.09999847,89.94000244,87.65000153,88.09999847,18485700
2014-10-06,85.28507996,88.30999756,89.65000153,88.05999756,89.15000153,9268400
2014-10-07,84.66699982,87.66999817,89.69999695,87.05999756,87.94999695,12791700
2014-10-08,85.27542877,88.30000305,88.5,87.05999756,88,10252600
2014-10-09,85.74864197,88.79000092,90.34999847,88,88.51000214,21507000
2014-10-10,82.93831635,85.87999725,88.73999786,85.23999786,88.25,15431400
2014-10-13,82.20436096,85.12000275,86.88999939,84.91999817,86.84999847,14845000
2014-10-14,82.04016876,84.94999695,85.87999725,83.22000122,85.80999756,15559200
2014-10-15,82.66790771,85.59999847,86.48999786,82.80999756,84.04000092,16824300
2014-10-16,85.80658722,88.84999847,89.17500305,84.01499939,84.98000336,15232000
2014-10-17,84.89878845,87.91000366,90.90000153,87.66999817,90.40000153,17360700
2014-10-20,85.23679352,88.26000214,89.5,87.86000061,88,9891400
2014-10-21,87.78636932,90.90000153,92.5,88.5,89.09999847,23243800
2014-10-22,88.4913559,91.62999725,93.5,91.01000214,92.25,20364500
2014-10-23,91.21476746,94.44999695,94.69999695,92.81999969,92.91999817,20641000
2014-10-24,92.47989655,95.76000214,98,94.77999878,95.06999969,32132600
2014-10-27,94.44036865,97.79000092,98.84999847,96.30000305,97,28302400
2014-10-28,96.265625,99.68000031,100.6699982,98.61000061,99.83999634,32127600
2014-10-29,94.94255066,98.30999756,100,96.81999969,99.87999725,28655400
2014-10-30,95.34816742,98.73000336,99.44000244,97.30000305,98.48000336,15484600
2014-10-31,95.22261047,98.59999847,100.2200012,98.13600159,100.0999985,18128300
2014-11-03,98.31301117,101.8000031,102.8000031,99.05000305,99.66999817,40883700
2014-11-04,102.4367447,106.0699997,106.3590012,99.51000214,100.4250031,67814000
2014-11-05,104.9476852,108.6699982,110.1399994,106.4800034,108.4800034,48344000
2014-11-06,107.7483521,111.5699997,111.6999969,107.2099991,109.3000031,33609000
2014-11-07,110.6359329,114.5599976,114.7699966,111.75,112.9300003,51457000
2014-11-10,115.0687103,119.1500015,119.4499969,115.1999969,117.2699966,75971000
2014-11-11,110.6166153,114.5400009,117.5500031,113.6900024,117.25,70983600
2014-11-12,114.1512451,118.1999969,119.0699997,114.0199966,115.0500031,53908000
2014-11-13,110.9063416,114.8399963,120,114.5500031,119.3000031,62163000
2014-11-14,111.1574402,115.0999985,115.3899994,113.3499985,115.0599976,29849000
2014-11-17,110.3365555,114.25,115.6299973,113.1299973,115.4400024,22573000
2014-11-18,107.0143814,110.8099976,114.3799973,110.4100037,114.3300018,41098000
2014-11-19,105.0925446,108.8199997,110.6800003,107.2200012,109.8300018,46841000
2014-11-20,106.0582886,109.8199997,112.4400024,107.2600021,107.8099976,36489000
2014-11-21,106.9371262,110.7300034,113.5,110.4349976,113.2099991,27432000
2014-11-24,110.0178528,113.9199982,113.9300003,111.5500031,112,20646000
2014-11-25,109.5832748,113.4700012,115.1699982,112.3300018,114.9400024,23485000
2014-11-26,108.8106766,112.6699982,113.7399979,112.3300018,113.3300018,11794700
2014-11-28,107.8159485,111.6399994,113.2300034,111.1100006,113.1399994,8077800
2014-12-01,102.3594818,105.9899979,110.0500031,103.8960037,110.0199966,38464200
2014-12-02,106.1259003,109.8899994,110,106.6100006,107.3499985,18785000
2014-12-03,106.8502045,110.6399994,111.6800003,108.7979965,110.4000015,16221100
2014-12-04,105.4305573,109.1699982,110.5,108.9100037,110.0999985,10779300
2014-12-05,104.2040634,107.9000015,110.3499985,107.7600021,109.5999985,12148100
2014-12-08,101.4710007,105.0699997,107.4000015,104.2099991,105.9700012,19217300
2014-12-09,103.7984543,107.4800034,107.9499969,101.1999969,102.2699966,24866800
2014-12-10,100.3217621,103.8799973,107.3799973,103.5100021,107.0899963,18466700
2014-12-11,101.3744278,104.9700012,106.8399963,104.2900009,104.4400024,15684300
2014-12-12,101.5096283,105.1100006,107.4499969,104.1790009,104.6999969,14537600
